photoid,label,longitude,latitude, downloadurl
5842043005,-1,141.349347,43.066772,http://farm3.staticflickr.com/2596/5842043005_bf31cd27b3.jpg
3681617458,9,141.350235,43.067015,http://farm4.staticflickr.com/3192/3681617458_20fa66330d.jpg
5022989982,-1,141.351915,43.067421,http://farm5.staticflickr.com/4103/5022989982_0f8aa1e383.jpg
2667169359,-1,141.350055,43.068578,http://farm4.staticflickr.com/3203/2667169359_5c57346700.jpg
12023085844,10,141.351027,43.066997,http://farm8.staticflickr.com/7428/12023085844_9a0045012a.jpg
6026008588,11,141.349961,43.068,http://farm7.staticflickr.com/6136/6026008588_772615c8b1.jpg
3262646348,2,141.350269,43.066174,http://farm4.staticflickr.com/3341/3262646348_a5138733ca.jpg
13657926985,4,141.350699,43.068567,http://farm8.staticflickr.com/7016/13657926985_909dac5690.jpg
9025358234,12,141.351792,43.067539,http://farm4.staticflickr.com/3800/9025358234_814a851a8b.jpg
2746416692,5,141.352329,43.068511,http://farm4.staticflickr.com/3133/2746416692_27e447f565.jpg
9123938864,13,141.350398,43.067688,http://farm8.staticflickr.com/7448/9123938864_e1975f411c.jpg
13504963924,-1,141.350586,43.065895,http://farm8.staticflickr.com/7203/13504963924_e9541f6962.jpg
106822990,4,141.35044,43.068699,http://farm1.staticflickr.com/28/106822990_66027a6a11.jpg
2638083785,-1,141.350826,43.068668,http://farm4.staticflickr.com/3053/2638083785_389d69348c.jpg
6618067733,-1,141.350709,43.067422,http://farm8.staticflickr.com/7161/6618067733_ef77ee3363.jpg
9030642918,7,141.350709,43.068809,http://farm6.staticflickr.com/5541/9030642918_9567321128.jpg
3949685833,4,141.350878,43.068638,http://farm3.staticflickr.com/2619/3949685833_4f359a5f3e.jpg
9123936586,-1,141.350398,43.067688,http://farm3.staticflickr.com/2882/9123936586_abde4be369.jpg
6814256313,4,141.3508,43.068624,http://farm8.staticflickr.com/7164/6814256313_1156979404.jpg
2745578613,5,141.352329,43.068511,http://farm4.staticflickr.com/3038/2745578613_093ed0a1fb.jpg
4629939020,3,141.349916,43.067,http://farm5.staticflickr.com/4010/4629939020_e42d314e3d.jpg
5338748044,-1,141.349877,43.068321,http://farm6.staticflickr.com/5246/5338748044_953f9bae72.jpg
106799507,-1,141.350955,43.066881,http://farm1.staticflickr.com/47/106799507_bc08355c8b.jpg
6023383971,9,141.350491,43.066963,http://farm7.staticflickr.com/6083/6023383971_a907d1b761.jpg
13994638915,-1,141.35205,43.067324,http://farm8.staticflickr.com/7308/13994638915_20ab8a60e7.jpg
2746418390,5,141.352329,43.068511,http://farm4.staticflickr.com/3192/2746418390_1e838059eb.jpg
4847716585,-1,141.351467,43.06794,http://farm5.staticflickr.com/4090/4847716585_9dac3a1e7a.jpg
5042798327,17,141.35021,43.067469,http://farm5.staticflickr.com/4085/5042798327_88c07dd4ed.jpg
6814372896,14,141.351608,43.06673,http://farm8.staticflickr.com/7057/6814372896_094acb1111.jpg
